timestamp,value
2015-12-07T02:20:00Z,3.4685
2015-12-07T02:21:00Z,3.4847
2015-12-07T02:22:00Z,3.5131
2015-12-07T02:23:00Z,3.5542
2015-12-07T02:24:00Z,3.6058
2015-12-07T02:25:00Z,3.6643
2015-12-07T02:26:00Z,3.7264
2015-12-07T02:27:00Z,3.7885
2015-12-07T02:28:00Z,3.8483
2015-12-07T02:29:00Z,3.9041
2015-12-07T02:30:00Z,3.9543
2015-12-07T02:31:00Z,3.9973
2015-12-07T02:32:00Z,4.034
2015-12-07T02:33:00Z,4.068
2015-12-07T02:34:00Z,4.1032
2015-12-07T02:35:00Z,4.1376
2015-12-07T02:36:00Z,4.1597
2015-12-07T02:37:00Z,4.1826
2015-12-07T02:38:00Z,4.2054
2015-12-07T02:39:00Z,4.227
2015-12-07T02:40:00Z,4.2467
2015-12-07T02:41:00Z,4.2635
2015-12-07T02:42:00Z,4.2764
2015-12-07T02:43:00Z,4.2845
2015-12-07T02:44:00Z,4.2852
2015-12-07T02:45:00Z,4.2697
2015-12-07T02:46:00Z,4.2442
2015-12-07T02:47:00Z,4.2159
2015-12-07T02:48:00Z,4.1908
2015-12-07T02:49:00Z,4.1659
2015-12-07T02:50:00Z,4.1333
2015-12-07T02:51:00Z,4.0851
2015-12-07T02:52:00Z,4.0138
2015-12-07T02:53:00Z,3.9222
2015-12-07T02:54:00Z,3.8223
2015-12-07T02:55:00Z,3.7265
2015-12-07T02:56:00Z,3.647
2015-12-07T02:57:00Z,3.5923
2015-12-07T02:58:00Z,3.5653
2015-12-07T02:59:00Z,3.5688
2015-12-07T03:00:00Z,3.6053
2015-12-07T03:01:00Z,3.6739
2015-12-07T03:02:00Z,3.7657
2015-12-07T03:03:00Z,3.8705
2015-12-07T03:04:00Z,3.9783
2015-12-07T03:05:00Z,4.0806
2015-12-07T03:06:00Z,4.1759
2015-12-07T03:07:00Z,4.2646
2015-12-07T03:08:00Z,4.3468
2015-12-07T03:09:00Z,4.4231
2015-12-07T03:10:00Z,4.4955
2015-12-07T03:11:00Z,4.5668
2015-12-07T03:12:00Z,4.6397
